"country","country.code","super.region","region","sex","age","pop","alcohol.use","drug.use","high.meat","low.exercise","smoking"
"Timor-Leste","TLS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",102091.3603,0.1816820372,0.1607732315,NA,NA,NA
"Timor-Leste","TLS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","70+ years",14431,123.905634973,13.529582066,5.706466982,142.190873157,810.796860605
"Timor-Leste","TLS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","50-69 years",58049,30.851506745,2.834855695,4.020871711,29.309105594,155.723805074
"Timor-Leste","TLS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","70+ years",17150,94.735843595,3.176586324,8.1598213,140.034628566,436.749262735
"Timor-Leste","TLS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",152674,0.3923859367,0.07294162856,NA,NA,NA
"Timor-Leste","TLS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","15-49 years",271828,17.07047486,4.625415386,0.1425514142,1.758854341,20.534050418
"Timor-Leste","TLS","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","50-69 years",58726,70.526223863,11.611413356,2.378095996,32.39705984,285.418727435
"Timor-Leste","TLS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","5-14 years",146065,0.2294508022,0.06920047895,NA,NA,NA
"Timor-Leste","TLS","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","15-49 years",262110,3.39792241,1.245449675,0.1645388807,0.7467302112,5.762420551
"Vietnam","VNM","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","70+ years",1534320,381.392263807,32.508480945,5.973038424,241.741701029,2292.715013027
"Vietnam","VNM","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","15-49 years",25898247,4.363742846,1.450606214,0.1183818313,0.5682209576,5.332847286
"Vietnam","VNM","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","50-69 years",8137489,19.300782878,2.66092884,1.599898678,12.627373508,73.532870738
"Vietnam","VNM","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","Under 5",4092667.836,0.05580615721,0.1074783768,NA,NA,NA
"Vietnam","VNM","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","Under 5",3672282.731,0.0418986474,0.11502907,NA,NA,NA
"Vietnam","VNM","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","5-14 years",7181294,0.5636249625,0.02771550953,NA,NA,NA
"Vietnam","VNM","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","15-49 years",26265965,46.545465011,13.329213834,0.1722450634,1.265105311,36.313128658
"Vietnam","VNM","Southeast Asia, East Asia, and Oceania","Southeast Asia","male","50-69 years",7164326,185.081374366,28.98859675,1.707567026,24.184882932,484.70008187
"Vietnam","VNM","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","5-14 years",6654620,0.3008219892,0.02904934036,NA,NA,NA
"Vietnam","VNM","Southeast Asia, East Asia, and Oceania","Southeast Asia","female","70+ years",2870495,74.626749847,7.681965508,5.947838872,188.148452435,802.058726549
"American Samoa","ASM","Southeast Asia, East Asia, and Oceania","Oceania","male","Under 5",6000.436224,0.0323585482,0.003184238651,NA,NA,NA
"American Samoa","ASM","Southeast Asia, East Asia, and Oceania","Oceania","male","5-14 years",11129.97607,0.1418998522,0.001272956229,NA,NA,NA
"American Samoa","ASM","Southeast Asia, East Asia, and Oceania","Oceania","male","15-49 years",19530.61084,16.098599008,2.868125011,0.6519615908,13.187259901,44.828088721
"American Samoa","ASM","Southeast Asia, East Asia, and Oceania","Oceania","female","Under 5",5568.986136,0.04117495394,0.007401192903,NA,NA,NA
"American Samoa","ASM","Southeast Asia, East Asia, and Oceania","Oceania","female","70+ years",1074.628601,35.455380566,3.545296568,8.812869783,347.20855765,476.955482736
"American Samoa","ASM","Southeast Asia, East Asia, and Oceania","Oceania","female","50-69 years",4007.599518,8.399110084,1.514964151,4.220507253,65.324257594,139.724567998
"American Samoa","ASM","Southeast Asia, East Asia, and Oceania","Oceania","male","50-69 years",4459.861694,33.171262476,4.763067045,7.033985457,131.859083194,386.360194534
